269,1,1
174945,1026972,1
258584,5549246,1
258584,3066177,1
174945,237215,1
4672122,3322097,5
4723955,3343154,1
6586662,3322097,5
6638494,3343154,1
4672122,1883764,5
4723955,1904820,1
6585042,1883764,5
6636873,1904820,1
4670502,2602931,5
4722335,2623988,1
6585042,2602931,5
6636873,2623988,1
4672122,5821364,5
4723955,5842420,1
6586662,5821364,5
6638494,5842420,1
4670502,4383030,5
4722335,4404086,1
6585042,4383030,5
6636873,4404086,1
4670502,5102197,5
4722335,5123253,1
6585042,5102197,5
6636873,5123253,1
301227,3961896,9
3056728,1081998,5
3107528,1119252,1
174945,6442595,1
174943,27536,1
301227,1642284,17
301227,4075112,17
301227,3375550,25
301227,1937216,25
301227,2656383,25
301227,5874816,25
301227,4436483,25
301227,5155650,25
301227,1358974,1
301227,1624613,9
5129514,1156507,5
5264574,1188902,1
6902667,1209958,5
7028105,1238303,1
8710727,240787,13
